time,y
2000-09-29 00:00:00,9.117647059
2000-10-02 00:00:00,8.157894737
2000-10-03 00:00:00,8.636363636
2000-10-04 00:00:00,8.863636364
2000-10-05 00:00:00,10
2000-10-06 00:00:00,9.583333333
2000-10-10 00:00:00,12.6
2000-10-11 00:00:00,12.16666667
2000-10-12 00:00:00,11.25
2000-10-13 00:00:00,10.22727273
2000-10-16 00:00:00,8.461538462
2000-10-17 00:00:00,8.857142857
2000-10-18 00:00:00,8.636363636
2000-10-19 00:00:00,8.548387097
2000-10-20 00:00:00,8.75
2000-10-23 00:00:00,13.18181818
2000-10-24 00:00:00,15
2000-10-25 00:00:00,14.52380952
2000-10-26 00:00:00,16.38888889
2000-10-27 00:00:00,17.17391304
2000-10-30 00:00:00,16.75
2000-10-31 00:00:00,19.31818182
2000-11-01 00:00:00,19.56521739
2000-11-02 00:00:00,19.34782609
2000-11-06 00:00:00,17.22222222
2000-11-07 00:00:00,15.5
2000-11-08 00:00:00,13.82352941
2000-11-09 00:00:00,13.42105263
2000-11-10 00:00:00,14.04761905
2000-11-13 00:00:00,12.85714286
2000-11-14 00:00:00,13.63636364
2000-11-15 00:00:00,14.09090909
2000-11-16 00:00:00,12.60869565
2000-11-17 00:00:00,11.30434783
2000-11-20 00:00:00,11.66666667
2000-11-21 00:00:00,11.17647059
2000-11-22 00:00:00,11.9047619
2000-11-24 00:00:00,11.94444444
2000-11-27 00:00:00,11.5
2000-11-28 00:00:00,9.8
2000-11-29 00:00:00,10.2
2000-11-30 00:00:00,10.6
2000-12-01 00:00:00,10.57692308
2000-12-04 00:00:00,13.125
2000-12-05 00:00:00,13.5
2000-12-06 00:00:00,13
2000-12-07 00:00:00,14.04761905
2000-12-08 00:00:00,15.37037037
2000-12-11 00:00:00,13.33333333
2000-12-12 00:00:00,12.70833333
2000-12-13 00:00:00,13.54166667
2000-12-14 00:00:00,14.4
2000-12-15 00:00:00,14.34782609
2000-12-18 00:00:00,16.9047619
2000-12-19 00:00:00,17.89473684
2000-12-20 00:00:00,17.5
2000-12-21 00:00:00,18.42105263
2000-12-22 00:00:00,18.52941176
2000-12-25 00:00:00,19.7826087
2000-12-26 00:00:00,19.16666667
2000-12-27 00:00:00,20.19230769
2000-12-28 00:00:00,20.2173913
2001-01-04 00:00:00,17.1875
2001-01-05 00:00:00,18.84615385
2001-01-09 00:00:00,9.615384615
2001-01-10 00:00:00,7.1875
2001-01-11 00:00:00,6.25
2001-01-12 00:00:00,6.19047619
2001-01-15 00:00:00,6.956521739
2001-01-16 00:00:00,6.818181818
2001-01-17 00:00:00,7.857142857
2001-01-18 00:00:00,6.621621622
2001-01-19 00:00:00,9.0625
2001-01-22 00:00:00,9.722222222
2001-01-23 00:00:00,11.11111111
2001-01-24 00:00:00,11.75
2001-01-25 00:00:00,12.66666667
2001-01-26 00:00:00,9.411764706
2001-01-29 00:00:00,3.947368421
2001-01-30 00:00:00,4.25
2001-01-31 00:00:00,5.238095238
2001-02-01 00:00:00,5
2001-02-02 00:00:00,5.454545455
2001-02-05 00:00:00,6.136363636
2001-02-06 00:00:00,5.517241379
2001-02-07 00:00:00,4.107142857
2001-02-08 00:00:00,2.708333333
2001-02-09 00:00:00,2.5
2001-02-13 00:00:00,4.130434783
2001-02-14 00:00:00,4.25
2001-02-15 00:00:00,4.347826087
2001-02-16 00:00:00,5.217391304
2001-02-19 00:00:00,8.055555556
2001-02-20 00:00:00,9.117647059
2001-02-21 00:00:00,9.25
2001-02-22 00:00:00,10.41666667
2001-02-23 00:00:00,10.68181818
2001-02-26 00:00:00,5.75
2001-02-27 00:00:00,5.625
2001-02-28 00:00:00,7.105263158
2001-03-01 00:00:00,5.333333333
2001-03-02 00:00:00,3
2001-03-05 00:00:00,4.259259259
2001-03-06 00:00:00,5.384615385
2001-03-07 00:00:00,6.538461538
2001-03-08 00:00:00,4.210526316
2001-03-09 00:00:00,2.619047619
2001-03-12 00:00:00,3.47826087
2001-03-13 00:00:00,2.368421053
2001-03-14 00:00:00,2.631578947
2001-03-15 00:00:00,2.75
2001-03-16 00:00:00,3.25
2001-03-19 00:00:00,1.875
2001-03-21 00:00:00,2.678571429
2001-03-22 00:00:00,2.166666667
2001-03-23 00:00:00,2.321428571
2001-03-26 00:00:00,3.095238095
2001-03-27 00:00:00,3.25
2001-03-28 00:00:00,3.181818182
2001-03-29 00:00:00,3.80952381
2001-03-30 00:00:00,2.5
2001-04-02 00:00:00,2.8
2001-04-03 00:00:00,3
2001-04-04 00:00:00,3.269230769
2001-04-05 00:00:00,3.541666667
